time,discipline,value,Major_Civils
-24,civils,4.272584120503512e-5,100
-24,MEH,1.9527639700040396e-34,100
-24,workforce,4.547815022777295e-5,100
-24,operations,2.752309022737831e-6,100
-23,civils,9.90779709750674e-5,100
-23,MEH,7.274505394878326e-33,100
-23,workforce,1.0279319953865608e-4,100
-23,operations,3.7152285635886786e-6,100
-22,civils,2.2425803816208495e-4,100
-22,MEH,2.496263048543072e-31,100
-22,workforce,2.292730721390745e-4,100
-22,operations,5.015033976989562e-6,100
-21,civils,4.954746936620602e-4,100
-21,MEH,7.890795419538314e-30,100
-21,workforce,5.022442814066004e-4,100
-21,operations,6.7695877445402325e-6,100
-20,civils,0.0010686044498419084,100
-20,MEH,2.2977665384311774e-28,100
-20,workforce,0.0010777424374103933,100
-20,operations,9.137987568484845e-6,100
-19,civils,0.0022498602142106087,100
-19,MEH,6.163928832440192e-27,100
-19,workforce,0.0022621952070819976,100
-19,operations,1.2334992871389172e-5,100
-18,civils,0.004624447316175908,100
-18,MEH,1.5233114854469139e-25,100
-18,workforce,0.004641097814705222,100
-18,operations,1.665049852931415e-5,100
-17,civils,0.009280137329986829,100
-17,MEH,3.468270373358734e-24,100
-17,workforce,0.009302613151640726,100
-17,operations,2.247582165389623e-5,100
-16,civils,0.018183010396014537,100
-16,MEH,7.275202714878799e-23,100
-16,workforce,0.01821334958103633,100
-16,operations,3.0339185021792323e-5,100
-15,civils,0.0347874644517338,100
-15,MEH,1.4060511802810047e-21,100
-15,workforce,0.03482841806640115,100
-15,operations,4.095361466734661e-5,100
-14,civils,0.06499151033384765,100
-14,MEH,2.5037921474017015e-20,100
-14,workforce,0.06504679192866819,100
-14,operations,5.528159482054584e-5,100
-13,civils,0.11857724310866004,100
-13,MEH,4.1082341247052886e-19,100
-13,workforce,0.11865186545151456,100
-13,operations,7.462234285452085e-5,100
-12,civils,0.2112973105876178,100
-12,MEH,6.2114372113282e-18,100
-12,workforce,0.21139804020559602,100
-12,operations,1.0072961797820865e-4,100
-11,civils,0.3677688130553427,100
-11,MEH,8.654281187489844e-17,100
-11,workforce,0.3679047838013819,100
-11,operations,1.3597074603910234e-4,100
-10,civils,0.6252998000361863,100
-10,MEH,1.1112092280106016e-15,100
-10,workforce,0.6254833413161971,100
-10,operations,1.8354128000968854e-4,100
-9,civils,1.0386816756652368,100
-9,MEH,1.3149606344836633e-14,100
-9,workforce,1.038929430425594,100
-9,operations,2.4775476034415644e-4,100
-8,civils,1.6858169307997042,100
-8,MEH,1.434202054480285e-13,100
-8,workforce,1.6861513646485888,100
-8,operations,3.3443384874126344e-4,100
-7,civils,2.673808314060967,100
-7,MEH,1.4418496559219734e-12,100
-7,workforce,2.6742597523626164,100
-7,operations,4.514383002070343e-4,100
-6,civils,4.14482296315122,100
-6,MEH,1.3362144644242334e-11,100
-6,workforce,4.145432340809377,100
-6,operations,6.093776447952677e-4,100
-5,civils,6.280698721295513,100
-5,MEH,1.1416078919729967e-10,100
-5,workforce,6.281521294606076,100
-5,operations,8.225731964020549e-4,100
-4,civils,9.304945161618853,100
-4,MEH,8.992582753850164e-10,100
-4,workforce,9.306055519127005,100
-4,operations,0.0011103566088946045,100
-3,civils,13.48060062859825,100
-3,MEH,6.531685966520707e-9,100
-3,workforce,13.482099457837187,100
-3,operations,0.0014988227072508765,100
-2,civils,19.102443884498037,100
-2,MEH,4.3751352046288205e-8,100
-2,workforce,19.10446712374538,100
-2,operations,0.0020231954959914426,100
-1,civils,26.48241842278092,100
-1,MEH,2.7029686331085493e-7,100
-1,workforce,26.485149714893804,100
-1,operations,0.0027310218160230848,100
0,civils,35.92785951407464,100
0,MEH,1.5404190828038824e-6,100
0,workforce,35.93154753660466,100
0,operations,0.003686482110939073,100
1,civils,47.71319344766943,100
1,MEH,8.099500783499348e-6,100
1,workforce,47.71817775612311,100
1,operations,0.004976208952900099,100
2,civils,62.047083341715506,100
2,MEH,3.929901389166709e-5,100
2,workforce,62.053839781231666,100
2,operations,0.006717140502265207,100
3,civils,79.03830839507819,100
3,MEH,1.759959593674329e-4,100
3,workforce,79.04755151127895,100
3,operations,0.009067120241398618,100
4,civils,98.66469950107954,100
4,MEH,7.276590917768643e-4,100
4,workforce,98.67766636287071,100
4,operations,0.012239202699388742,100
5,civils,120.74992196426098,100
5,MEH,0.0027783012336907715,100
5,workforce,120.76922122524738,100
5,operations,0.016520959752705417,100
6,civils,144.95257208386482,100
6,MEH,0.009799340934262489,100
6,workforce,144.9846719581737,100
6,operations,0.022300533374611315,100
7,civils,170.77085689523636,100
7,MEH,0.031940541600386056,100
7,workforce,170.83289922537512,100
7,operations,0.0301017885383667,100
8,civils,197.56416339638142,100
8,MEH,0.0962505455104316,100
8,workforce,197.7010456799138,100
8,operations,0.04063173802195703,100
9,civils,224.59039519165552,100
9,MEH,0.2682862980836982,100
9,workforce,224.91352600039164,100
9,operations,0.05484451065242968,100
10,civils,251.05550177527087,100
10,MEH,0.6921253275516552,100
10,workforce,251.82165471380858,100
10,operations,0.07402761098607014,100
11,civils,276.1696349497905,100
11,MEH,1.6537289755436304,100
11,workforce,277.9232821220191,100
11,operations,0.09991819668492576,100
12,civils,299.2032528359372,100
12,MEH,3.662650353071884,100
12,workforce,303.0007629324171,100
12,operations,0.1348597434080297,100
13,civils,319.53649284434016,100
13,MEH,7.526697494422351,100
13,workforce,327.2452033254796,100
13,operations,0.1820129867171055,100
14,civils,336.6962508267777,100
14,MEH,14.36815617954465,100
14,workforce,351.3100466993613,100
14,operations,0.24563969303894426,100
15,civils,350.37739609916883,100
15,MEH,25.515073041399738,100
15,workforce,376.2239530854795,100
15,operations,0.3314839449109298,100
16,civils,360.44700638538757,100
16,MEH,42.22091385742053,100
16,workforce,403.1152038566373,100
16,operations,0.4472836138291993,100
17,civils,366.93293663803416,100
17,MEH,65.23486021436962,100
17,workforce,432.77125180361907,100
17,operations,0.6034549512152629,100
18,civils,370,100
18,MEH,94.34511939278967,100
18,workforce,465.1591255194842,100
18,operations,0.8140061266944896,100
19,civils,369.91823779099167,100
19,MEH,128.09276656596074,100
19,workforce,499.1087556114246,100
19,operations,1.097751254472191,100
20,civils,367.0280803098817,100
20,MEH,163.83805143927984,100
20,workforce,532.3460463719763,100
20,operations,1.4799146228146507,100
21,civils,361.70673311675233,100
21,MEH,198.23209657001846,100
21,workforce,561.9330636851084,100
21,operations,1.994233998337658,100
22,civils,354.33908785894283,100
22,MEH,227.95936538758545,100
22,workforce,584.9841415548337,100
22,operations,2.6856883083054224,100
23,civils,345.2951444027912,100
23,MEH,250.4787628695077,100
23,workforce,599.3878881604726,100
23,operations,3.6139808881737583,100
24,civils,334.91462607089517,100
24,MEH,264.4913101201697,100
24,workforce,604.2638260116462,100
24,operations,4.857889820581232,100
25,civils,323.4983900947798,100
25,MEH,270,100
25,workforce,600.0189150396451,100
25,operations,6.520524944865321,100
26,civils,311.3055028693749,100
26,MEH,268.01512427893914,100
26,workforce,588.0559896419448,100
26,operations,8.735362493630705,100
27,civils,298.5544893930845,100
27,MEH,260.08747555825704,100
27,workforce,570.3145605268596,100
27,operations,11.672595575517988,100
28,civils,285.4272280845435,100
28,MEH,247.8674886504897,100
28,workforce,548.8394691996962,100
28,operations,15.54475246466291,100
29,civils,272.0741523083764,100
29,MEH,232.81327862844535,100
29,workforce,525.4970363262614,100
29,operations,20.609605389439608,100
30,civils,258.6197334431545,100
30,MEH,216.07041903268768,100
30,workforce,501.8572529220196,100
30,operations,27.16710044617744,100
31,civils,245.16756532302938,100
31,MEH,198.4773165529138,100
31,workforce,479.1904705013761,100
31,operations,35.545588625432984,100
32,civils,231.804681112854,100
32,MEH,180.63015334423997,100
32,workforce,458.5065440357091,100
32,operations,46.071709578615135,100
33,civils,218.60497558850813,100
33,MEH,162.95637620416622,100
33,workforce,440.58062897967733,100
33,operations,59.01927718700297,100
34,civils,205.6317682940261,100
34,MEH,145.7716056852538,100
34,workforce,425.9407997053837,100
34,operations,74.53742572610383,100
35,civils,192.939633538737,100
35,MEH,129.31510219969533,100
35,workforce,414.8231995275641,100
35,operations,92.56846378913173,100
36,civils,180.57565816213278,100
36,MEH,113.76876299927815,100
36,workforce,407.1238973860375,100
36,operations,112.77947622462659,100
37,civils,168.58028616148653,100
37,MEH,99.26658216034001,100
37,workforce,402.38798892041336,100
37,operations,134.5411205985868,100
38,civils,156.98788723271826,100
38,MEH,85.89985977479388,100
38,workforce,399.8687387911002,100
38,operations,156.98099178358808,100
39,civils,145.827156413222,100
39,MEH,73.72116842785113,100
39,workforce,398.6603514862102,100
39,operations,179.11202664513704,100
40,civils,135.1214222416537,100
40,MEH,62.7483976819555,100
40,workforce,397.8698199236092,100
40,operations,200,100
41,civils,124.88891529563683,100
41,MEH,52.96925095776821,100
41,workforce,396.7708965733178,100
41,operations,218.91273031991275,100
42,civils,115.14302909375914,100
42,MEH,44.34613814918796,100
42,workforce,394.8929889704252,100
42,operations,235.4038217274781,100
43,civils,105.89259101373072,100
43,MEH,36.821253376492614,100
43,workforce,392.03137300257737,100
43,operations,249.31752861235404,100
44,civils,97.14215118140457,100
44,MEH,30.321600307864284,100
44,workforce,388.19793763230786,100
44,operations,260.734186143039,100
45,civils,88.89229110827601,100
45,MEH,24.763752745294116,100
45,workforce,383.5457744485346,100
45,operations,269.8897305949645,100
