time,discipline,value
-12,Role13_L12,0.002280237871005652
-12,Role13_L34,0.004104428167810174
-12,Role13_L56,0.0018241902968045218
-12,Role13_L78,9.120951484022609e-4
-12,Role14_L12,0.0028502973387570653
-12,Role14_L34,0.005130535209762718
-12,Role14_L56,0.002280237871005652
-12,Role14_L78,0.001140118935502826
-12,Role15_L12,0.0034203568065084783
-12,Role15_L34,0.006156642251715261
-12,Role15_L56,0.0027362854452067827
-12,Role15_L78,0.0013681427226033913
-11,Role13_L12,0.007201116211363614
-11,Role13_L34,0.012962009180454506
-11,Role13_L56,0.005760892969090892
-11,Role13_L78,0.002880446484545446
-11,Role14_L12,0.009001395264204518
-11,Role14_L34,0.016202511475568133
-11,Role14_L56,0.007201116211363614
-11,Role14_L78,0.003600558105681807
-11,Role15_L12,0.010801674317045422
-11,Role15_L34,0.01944301377068176
-11,Role15_L56,0.008641339453636338
-11,Role15_L78,0.004320669726818169
-10,Role13_L12,0.02273937420799348
-10,Role13_L34,0.040930873574388266
-10,Role13_L56,0.018191499366394782
-10,Role13_L78,0.009095749683197391
-10,Role14_L12,0.02842421775999185
-10,Role14_L34,0.05116359196798533
-10,Role14_L56,0.02273937420799348
-10,Role14_L78,0.01136968710399674
-10,Role15_L12,0.034109061311990214
-10,Role15_L34,0.061396310361582385
-10,Role15_L56,0.02728724904959217
-10,Role15_L78,0.013643624524796085
-9,Role13_L12,0.07178402990662568
-9,Role13_L34,0.12921125383192622
-9,Role13_L56,0.057427223925300544
-9,Role13_L78,0.028713611962650272
-9,Role14_L12,0.0897300373832821
-9,Role14_L34,0.16151406728990778
-9,Role14_L56,0.07178402990662568
-9,Role14_L78,0.03589201495331284
-9,Role15_L12,0.10767604485993852
-9,Role15_L34,0.19381688074788933
-9,Role15_L56,0.08614083588795081
-9,Role15_L78,0.043070417943975405
-8,Role13_L12,0.22639618253092617
-8,Role13_L34,0.40751312855566707
-8,Role13_L56,0.18111694602474093
-8,Role13_L78,0.09055847301237047
-8,Role14_L12,0.2829952281636577
-8,Role14_L34,0.5093914106945838
-8,Role14_L56,0.22639618253092614
-8,Role14_L78,0.11319809126546307
-8,Role15_L12,0.33959427379638923
-8,Role15_L34,0.6112696928335006
-8,Role15_L56,0.2716754190371114
-8,Role15_L78,0.1358377095185557
-7,Role13_L12,0.7119122361065656
-7,Role13_L34,1.281442024991818
-7,Role13_L56,0.5695297888852525
-7,Role13_L78,0.28476489444262626
-7,Role14_L12,0.8898902951332068
-7,Role14_L34,1.6018025312397726
-7,Role14_L56,0.7119122361065655
-7,Role14_L78,0.35595611805328276
-7,Role15_L12,1.0678683541598484
-7,Role15_L34,1.922163037487727
-7,Role15_L56,0.8542946833278787
-7,Role15_L78,0.42714734166393936
-6,Role13_L12,2.2180767399981134
-6,Role13_L34,3.992538131996604
-6,Role13_L56,1.7744613919984908
-6,Role13_L78,0.8872306959992454
-6,Role14_L12,2.7725959249976415
-6,Role14_L34,4.9906726649957545
-6,Role14_L56,2.2180767399981134
-6,Role14_L78,1.1090383699990567
-6,Role15_L12,3.3271151099971696
-6,Role15_L34,5.988807197994905
